instruction_id,instruction_number,rq_year,rq_semester,dept,area,year,subject,professor,url,credit,time,class_time,required,number_of_people,note,foreigner,mooc,team_teaching,online
1087,A01123302,20,1,영어교육과,이중(부)전공,2.0,영어학개론(1),윤영옥,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01123302,3,3,목 1 2 3,1,40,2학년 우선/2전공만,0,0,0,0
1088,E01407602,20,1,영어교육과,이중(부)전공,3.0,영어교수법,이길영,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=E01407602,3,3,목 7 8 9,1,40,3학년 우선/2전공만,1,0,0,0
1089,E01408102,20,1,영어교육과,이중(부)전공,3.0,영어교수학습이론,윤현숙,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=E01408102,3,3,화 7 8 9,1,40,3학년 우선/2전공만,0,0,0,0
1090,E01303602,20,1,영어교육과,이중(부)전공,4.0,영어교과교육론,조소은,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=E01303602,3,3,월 4 5 6,1,40,4학년 우선/2전공만,0,0,0,0
1091,A01748101,20,1,영어학과,전공,4.0,Business Communication,Steve Hyok Lee,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01748101,2,2,목 7 8,0,20,,1,0,0,0
1092,A01747101,20,1,영어학과,전공,4.0,Research Writing,Robert Otto Davis,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01747101,2,2,금 1 2,0,20,,1,0,0,0
1093,A01747102,20,1,영어학과,전공,4.0,Research Writing,Nicholas Yohan Duvernay,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01747102,2,2,월 1 2,0,20,,1,0,0,0
1094,A01411301,20,1,영어학과,전공,4.0,영어와사회,정형석,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01411301,3,3,수 4 5 6,0,60,영어대교류 - 부전공자 교류 불가,0,0,0,0
1095,A01273201,20,1,영어학과,전공,4.0,영어와인지,권익수,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01273201,3,3,목 7 8 9,0,60,영어대교류 - 부전공자 교류 불가,0,0,0,0
1096,A01483301,20,1,영어학과,전공,4.0,영어학과영어교육,조수경,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01483301,3,3,화 4 5 6,0,60,영어대교류 - 부전공자 교류 불가,0,0,0,0
